,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit,query_genre
781,Gang Gang Gang,Jackman.,https://open.spotify.com/album/1ep4OEfNOhvcY85STfEtKy,Jack Harlow,66,2023-04-28,https://open.spotify.com/track/6fMM4VMig1pSp0Pd1paP0N,169514,True,k-pop
782,By My Side,By My Side,https://open.spotify.com/album/6RkSKePFywXU4SlO2R0nRS,JUNNY,66,2020-03-11,https://open.spotify.com/track/6nzCvAtyADh0wwZEVMoujK,206680,False,korean
783,You Are My Everything,Descendants Of The Sun Pt.4 (Original Television Soundtrack),https://open.spotify.com/album/2xhG5yxzYITJA30jKf2MkQ,Gummy,66,2016-03-10,https://open.spotify.com/track/4s80CRYk3rRPZE56NvmFi7,240590,False,korean
784,逆光 - ウタ from ONE PIECE FILM RED,逆光 (ウタ from ONE PIECE FILM RED),https://open.spotify.com/album/3ZARNbKk2zkYDeVQpHE564,Ado,66,2022-07-05,https://open.spotify.com/track/5GXYKnnzBlHvrzBQ5WoxME,237862,False,j-pop
785,Phase Me,MOTH,https://open.spotify.com/album/7JdpeV87hczflCV8GXF3yV,WOOSUNG,66,2022-05-13,https://open.spotify.com/track/62DCFw57LAAX4CTrzmUCny,154003,False,korean
786,BANANA SHAKE (SPED UP),BANANA SHAKE (SPED UP),https://open.spotify.com/album/1vRxza3P5wbnqfieA27DAn,HUS,66,2023-02-16,https://open.spotify.com/track/6qXGfKR1JHtH18PbT15k6F,279666,False,korean
787,THANK YOU (ASAHI x HARUTO Unit),THE SECOND STEP : CHAPTER TWO,https://open.spotify.com/album/4l5YvRcmno5RMKZCZp1j0g,TREASURE,66,2022-10-04,https://open.spotify.com/track/41GW9sI7kajNmon5HJGNH9,195849,False,k-pop
788,GANADARA (Feat. IU),GANADARA,https://open.spotify.com/album/4cwyl5ynvYVojZRbZ3dSFH,Jay Park,66,2022-03-11,https://open.spotify.com/track/5quFr5s5PXYfUX5jV2EBZ1,203727,False,korean
789,Candy (Feat. Zion.T),Candy,https://open.spotify.com/album/61aZQufXnFfFPgufHyjALa,Jay Park,66,2023-05-23,https://open.spotify.com/track/0luFANDtNNjcBXKazh3dV8,186019,False,korean
790,紙一重,紙一重,https://open.spotify.com/album/6aGEvo2LvTdDOwKxPtpdqN,Uru,66,2023-04-15,https://open.spotify.com/track/4WqWAyxI9uf6CVxUBwglrb,249477,False,j-pop
791,何度でも,何度でも,https://open.spotify.com/album/3FcfGyMdLymsntGZt7590R,DREAMS COME TRUE,66,2005-01-01,https://open.spotify.com/track/6Qq8UOS6QzeSYFUVXC5wEB,222760,False,j-pop
792,踊,踊,https://open.spotify.com/album/6jfXGkieuNnsFxi5pS3vJ2,Ado,66,2021-04-27,https://open.spotify.com/track/7z6qHGEKxRtwtYym2epV7l,208271,False,j-pop
793,ともに,Everybody!!,https://open.spotify.com/album/1spFHTdEd1oA8htGJxeIac,WANIMA,66,2018-01-17,https://open.spotify.com/track/6FHgHDXiGnRfhrSok9xAz3,207368,False,j-pop
794,HANABI,SUPERMARKET FANTASY,https://open.spotify.com/album/47B04gMM1xS01Jq1ib24Sp,Mr.Children,66,2008-12-10,https://open.spotify.com/track/0AU7xhipAm9Saq0k8A9Iua,342773,False,j-pop
795,春を告げる,春を告げる,https://open.spotify.com/album/1B4Ka4FOargLNxmbNch7xv,yama,66,2020-04-17,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD,196497,False,j-pop
796,君と羊と青,絶体絶命,https://open.spotify.com/album/17cNTH9fRan9G3GgH3CFgm,RADWIMPS,66,2011-03-09,https://open.spotify.com/track/17A3UTMUWzCRn7I42exBhF,158186,False,j-pop
797,Day 1,The Red - The 1st Album,https://open.spotify.com/album/6YL9J0E6PGtYzkhyMxnmXd,Red Velvet,66,2015-09-09,https://open.spotify.com/track/74muMkVdMYoR65lhmdzy13,206357,False,k-pop
798,Season,PRIVATE,https://open.spotify.com/album/4iEtXGDpfraVH7Srme6iqD,iri,66,2023-05-10,https://open.spotify.com/track/4rcAJoljlgzkYsisGJ1NsT,208133,False,j-pop
799,Nandemonaiya - movie ver.,Your Name.,https://open.spotify.com/album/4qApTp9557qYZzRLEih4uP,RADWIMPS,66,2016-08-24,https://open.spotify.com/track/7dEfa89dZfo6CQPdsgGCF6,344053,False,k-pop
800,En Garde,BOYS PLANET - ARTIST BATTLE,https://open.spotify.com/album/1rIIbjGYbj2sRxAWZUfeoC,BOYS PLANET,66,2023-04-06,https://open.spotify.com/track/4GZvo0OL3BsRxNrj4TBeP3,174426,False,k-pop
801,시작,ITAEWON CLASS (Original Television Soundtrack) Pt.2,https://open.spotify.com/album/7KDMHe0BgyhOmk4Oz6g293,Gaho,66,2020-02-01,https://open.spotify.com/track/5TeDIQrpwWtLWaFfzLH0hh,202440,False,k-pop
802,ハルカ,THE BOOK,https://open.spotify.com/album/1xhO0GSoezdPJcSuNe1ySv,YOASOBI,66,2021-01-06,https://open.spotify.com/track/5D9MPWdY2hjSeTIGE5n5kv,243613,False,japanese
803,Palette (feat. G-DRAGON),Palette,https://open.spotify.com/album/5V8n6fqyAPxvFTibPhQVcp,IU,66,2017-04-21,https://open.spotify.com/track/3y7ByLZ05tluscOTRgEJ9Y,217412,False,k-pop
804,紙一重,紙一重,https://open.spotify.com/album/6aGEvo2LvTdDOwKxPtpdqN,Uru,66,2023-04-15,https://open.spotify.com/track/4WqWAyxI9uf6CVxUBwglrb,249477,False,japanese
805,Candy (Feat. Zion.T),Candy,https://open.spotify.com/album/61aZQufXnFfFPgufHyjALa,Jay Park,66,2023-05-23,https://open.spotify.com/track/0luFANDtNNjcBXKazh3dV8,186019,False,k-pop
806,We Go Up,We Go Up,https://open.spotify.com/album/0pIWpPef8UFx8iQ5KSZsYj,NCT DREAM,66,2018-09-03,https://open.spotify.com/track/26vOBLHS116a4WNUVlvAUW,183293,False,k-pop
807,HIT,An Ode,https://open.spotify.com/album/5HlxNTQpJb7buoWIRS4M7T,SEVENTEEN,66,2019-09-16,https://open.spotify.com/track/0uIw1c0E2nyFWWwEVzhl30,203506,False,k-pop
808,Can't Love You Anymore (With OHHYUK),Palette,https://open.spotify.com/album/5V8n6fqyAPxvFTibPhQVcp,IU,66,2017-04-21,https://open.spotify.com/track/5MvxeZPiiLAuB5gI8k3ynk,195230,False,k-pop
809,Say My Name,TREASURE EP.2: Zero To One,https://open.spotify.com/album/2PQ8cQ8WzAJJkWYT2Ydmhw,ATEEZ,66,2019-01-15,https://open.spotify.com/track/2UP7KnRSvc4taXbjOoSX0f,222023,False,k-pop
810,For You,"Moonlovers - Scarlet Heart Ryeo (Original Television Soundtrack), Pt. 1",https://open.spotify.com/album/6Ws1NetwWwXXK50IrNvs7R,CHEN,66,2016-08-25,https://open.spotify.com/track/7rLvsAO1yb7ElxPhkz60qh,196549,False,k-pop
